Name,upload_date,category,view_count,like_count,dislike_count,frames,number_shots,dark_perc_std,dark_perc_mean,saturated_perc_std,saturated_perc_mean,red_perc_std,red_perc_mean,white_perc_std,white_perc_mean,tags
$1 THRIFT HAUL (try on goodwill outlet haul)-oNXSyNbrXrk,20180315,Howto & Style,782897,25090,229,17663,274,46.82920301,83.37702421,9.791469875,3.005607378,7.952169981,2.060965379,54.32104307,254.5442821,"$1 thrift haul, thrift haul 2018, thrift haul try on, thrift haul goodwill, thrift haul goodwill outlet, thrift haul goodwill 2018, goodwill outlet, goodwill haul, try on thrift haul, try on thrift haul 2018, try on thrift haul goodwill, try on goodwill haul, thrift haul designer, thrift store haul designer, thrifting haul 2018, thrift haul for resale, spring thrift haul, thrift store haul, thrift store finds, cheap thrift haul, thrift haul"
5 Fashion Resolutions for 2017-s2O7rs2sk8A,20170105,Howto & Style,14887,565,5,11327,13,79.28710678,47.74299432,0.48072954,0.118539896,0.116481792,0.112767891,65.06567875,275.6989895,"fashion resolution, fashion resolution 2017, new years resolution, new years resolution 2017, new years resolution fashion, new years resolution fashion 2017, new years resolution style, new years resolution beauty, new years resolution style 2017, new years resolution beauty 2017, style resolution, style resolution 2017, improving style, how to improve your style, find your style, 2017 trends, 2017 trends fashion, capsule wardrobe, minimalist wardrobe, minimalism, bestdressed"
5 Summer Closet Essentials-xIB2JnjkQV4,20160720,Howto & Style,15999,577,3,8872,83,31.71501394,180.1966353,0.909400768,0.602390918,0.303832261,0.114060122,19.50083391,136.2339289,"summer essentials, summer essentials 2016, summer clothing essentials, summer essentials clothes, essentials for summer, wardrobe essentials, closet essentials, closet essentials 2016, closet essentials summer, basic closet essentials, closet essentials summer 2016, wardrobe essentials 2016, summer wardrobe essentials, summer closet essentials, summer closet essentials 2016, bestdressed, summer clothing esssentials 2016, basic clothing essentials"
5 WAYS TO REWEAR YOUR NYE DRESS-jGHiyhotAqw,20180114,Howto & Style,56138,2667,27,6871,151,56.8170882,74.48891085,0.541510814,0.387256624,12.62494016,12.31959816,71.31640619,261.8624909,"how to rewear a dress, how to rewear a nye dress, how to rewear a new year's eve dress, how to rewear a new years dress, outfit ideas, outfit ideas 2018, how to restyle a dress, wear a dress as a skirt, ways to style a dress, different ways to style a dress, ways to style a black dress, diy restyle clothes, restyle dress, outfit ideas winter, party outfit ideas, outfit ideas party, basics mashup, one dress many ways to wear"
8 Easy Heatless Back To School Hairstyles-Q49yybBSLuI,20160908,Howto & Style,28998,958,7,8402,83,49.41890811,90.15393819,0.677053151,0.202435065,0.182479933,0.048015873,43.1755367,248.0044222,"easy hair tutorial, quick hairstyles, bestdressed, hairstyles for medium hair, hairstyles for school, back to school hairstyles, hair tutorial, hair tutoiral for medium hair, easy hairstyles, easy hairstyles for school, easy harstyles for medium hair, back to school 2016, back to school hairstyles 2016, heatless hairstyles, heatless hairstyles for school, heatless hairstyles for school 2016, quick hairstyles for school, easy hairstyles 2016"
10 WAYS TO (re)WEAR A DRESS-Z2btCqHejx4,20190404,Howto & Style,2129044,150605,519,11617,150,25.5126982,58.25446475,0.904381593,0.33314459,68.03649545,38.42155446,76.60696976,221.9822083,"spring outfit ideas, outfit ideas, outfit ideas 2019, fashion, 10 ways to wear a dress, how to rewear a dress, spring dress, summer dress, basics mashup, 10 basics, styling basics, how to style a dress, style with me, 50 outfit ideas for when you have nothing to wear, 50 outfit ideas, 20 outfit ideas, casual outfit ideas, ootw, spring ootw, spring lookbook, how to style basics, how to make your basic clothes look cute, spring basics, summer basics, styling tips"
30 BACK TO SCHOOL OUTFITS (yes it's that time of year i'm so sorry)-InVOyJJoNK8,20180809,Howto & Style,2590831,105436,1034,10988,120,17.4854139,36.74035189,7.608561012,1.888410829,16.79180032,4.666232067,56.32305991,215.287634,"back to school outfits, back to school outfits 2018, back to school outfit ideas, back to school outfit ideas 2018, back to school outfits 2018-2019, back to school clothing haul, casual school outfits, outfits of the week high school, outfits of the week college, back to school lookbook, high school lookbook, first week of school outfits, ootw first week of school, college lookbook, college ootw, cute school outfit ideas, easy school outfit ideas, casual school outfit ideas"
30 BACK TO SCHOOL OUTFITS to help you survive the school year-PlBaIvxsqys,20190822,Howto & Style,1961810,144125,483,11215,167,16.67062756,119.9358626,5.260447861,1.885211293,5.180443189,6.389854427,17.65507563,188.0123112,"back to school outfits, outfit ideas, outfit ideas for school, school outfit ideas, 30 school outfit ideas, fall outfit ideas, outfit ideas fall, fall trends, ootw, ootw first week of school, high school outfits, ootw college, ootw high school, outfits for school, casual outfit ideas, 50 outfits, 50 outfits for when you have nothing to wear, 20 outfit ideas, 20 school outfit ideas, realistic school outfit ideas, comfortable outfit ideas, back to school haul"
50 FACTS ABOUT ME-_Sedxj2X7-k,20171130,Howto & Style,203513,9100,38,9254,11,55.33818686,311.802623,2.061108817,1.933135115,0.539481297,0.541335397,48.80857932,65.02009341,"50 facts about me, 50 facts about me 2017, short film, short artsy film, 50 facts about me bestdressed, bestdressed, chatty grwm, all about me, about me, get to know me better, q and a, short film 2017, 500 days of summer, 25 facts about me, 25 facts about me 2017, the truth about youtube, get to know me"
50 OUTFITS for when you have nothing to wear-PCOo8AW4oI0,20190228,Howto & Style,10408493,702153,4693,18365,231,24.32094073,84.51210361,12.48658491,2.442883354,11.43081488,6.508070905,36.70111085,235.3004418,"50 outfits, outfit ideas, outfit ideas for school, spring lookbook, winter lookbook, winter outfit ideas, outfit ideas 2019, outfit ideas for college, cute outfit ideas, outfit ideas for spring, spring 2019 trends, styling tips, outfit 101, how to put together an outfit 101, fashion, what to do when you have nothing to wear, nothing to wear, wardrobe basics, closet basics, pattern mixing, dress into tshirt, diy tube top, outfit inspo, casual outfit ideas"
